year,Date,n.days,hour,minute,h.from.sunset,h.sset,n.tracks,gspeed,aspeed_UV,s.speed,slope.angle,vspeed.g,vspeed.a,Wrad,Brad,Ws,Vcomp,Ucomp,dist.coast_km,height1,height2,elevation.m,brd.long,brd.lat,brd.long.sd,brd.lat.sd,comp.drift,comp.drift.sd,Wdeg,Wdeg.to,Bdeg,Bdeg360,CW,TW,aspeed,s.gspeed.187,s.aspeed.187
2005,2005-08-16,228,9,30,-9.89,-10,32,15.97809715625,15.985570071944906,6.984185112158229,-0.0490099369883966,-0.7355627911523591,-0.7391621195691944,-1.5009831567151262,-2.607620970547792,2.2,0.153464242237076,-2.19464091057161,24.95200137819838,696.82786515625,689.41894915625,253.67804231805633,34.961344499999996,31.902234999999997,NA,NA,0.796875,NA,-86.00000000000016,93.99999999999984,-149.40567618219603,210.59432381780397,-2.1954143601987934,-0.14197107815651278,16.268879620148677,6.216002088572339,6.329125972176174
2005,2005-08-16,228,10,0,-9.40063829787234,-9,47,14.68429529787234,14.412382928155042,4.104135920307622,-0.679298236680483,-1.8546743444881888,-2.0514731155163113,-1.361356816555576,-2.8326778274350612,3.2,0.665317410616831,-3.13007232234818,26.037125972541233,915.3959495957447,917.1197600212766,268.62927337259686,34.96288,31.854623,NA,NA,0.6702127659574468,NA,-77.99999999999994,102.00000000000006,-162.30048423231634,197.69951576768366,-3.1909924272803702,0.239931925844253,14.792635529010619,2.549778900557503,2.5685910825406544
2005,2005-08-16,228,10,30,-8.89,-9,33,14.869320424242424,14.707320320910904,6.005185087855823,0.102457635725772,0.3365912818399243,0.4207514140133733,-1.3788101090755165,-2.6617091968674425,4.1,0.782316881043835,-4.02467145213542,28.58237514746955,805.5692142727273,814.0002802121212,284.9956600914241,34.979109,31.8149,NA,NA,0.7727272727272727,NA,-78.99999999999979,101.00000000000021,-152.50470327166042,207.49529672833958,-4.093201448117515,0.23601251053424313,15.194999131038667,5.035654232661989,5.145948806426946
2005,2005-08-16,228,11,0,-8.40580838323353,-8,167,16.901698443113773,16.827964868309248,2.494167152558331,0.137694621228203,0.6525283250672023,0.7101578460078734,-1.4137166941154065,-2.917608571323933,4.2,0.657024753168969,-4.14829103049958,26.768269179990508,651.7418452335329,657.4904816646707,246.49599380187888,34.937303,31.811799,NA,NA,0.6017964071856288,NA,-80.99999999999997,99.00000000000003,-167.1666574080552,192.8333425919448,-4.198918959155333,0.09528680100568246,17.32300183887136,1.5122611457032573,1.5499568103195327
2005,2005-08-16,228,11,15,-8.14028169014085,-8,142,16.488105183098593,15.654997977529701,2.8131246328162685,0.103464037745847,0.8883748224244982,0.9569316315575545,-1.2251392399654302,-2.9005548135545176,4.598591549295774,1.557758651205212,-4.324737639749575,29.294146365079712,686.3134175070422,690.4862335704225,299.6274710421401,34.9578205,31.796505,NA,NA,0.5915492957746479,NA,-70.19530776588454,109.80469223411546,-166.18954906302923,193.81045093697077,-4.496346771888374,0.9643183832031385,16.161840579020677,1.7550836118069986,1.7203542324531584
2005,2005-08-16,228,12,0,-7.39,-7,83,16.47975903614458,16.056721099043894,4.555645335725979,0.145722156328072,0.3768751321347881,0.48894977792210853,-1.326450231515686,-2.79826000235219,5.1,1.2338016675583,-4.94850820400758,30.04541230193039,672.9060240963855,671.3522891566265,307.44336683010306,34.95323,31.806471,NA,NA,0.7048192771084337,NA,-75.99999999999974,104.00000000000026,-160.3284881150483,199.6715118849517,-5.069200872821414,0.5596449865643538,16.70768771675647,3.4183192750295346,3.4655974543135177
2005,2005-08-16,228,12,30,-6.89,-7,77,16.767662337662337,14.635121582240002,2.0807838510051386,0.088512920670819,0.5066124391315714,0.5657106200370011,-0.977384381116827,-2.9694164138210564,4.9,2.74004522700666,-4.0622841055197,31.270819636456753,688.9351948051948,688.0920779220779,348.0653854721446,34.999124,31.799174,NA,NA,0.6038961038961039,NA,-56.00000000000014,123.99999999999986,-170.13502812881887,189.86497187118113,-4.392783508878863,2.1710488350384716,15.243282871509649,0.6334302428933424,0.5758439177359062
2005,2005-08-16,228,13,0,-6.39,-6,70,16.539,13.66792487759745,2.943088220949924,0.24600659929011,1.2274323267184073,1.5072245754933367,-0.7853981633974471,-2.8877112171370536,4.7,3.32340187157677,-3.32340187157677,32.24565319809642,703.6514285714286,706.6244285714286,360.5836145093165,34.982752000000005,31.7815995,NA,NA,0.7,NA,-44.99999999999993,135.00000000000006,-165.4536651945392,194.5463348054608,-3.738725360018006,2.848145481248849,14.192165612451491,1.9715635088372427,1.6918045730022442
2005,2005-08-16,228,13,30,-5.89,-6,80,15.798625,13.498339807043127,4.505708485810945,-0.0585016270534388,-0.7886200488825796,-0.8571461144670277,-0.9075712110370476,-2.7794850034014393,4.7,2.8936089340306,-3.70365054195159,30.91396631839207,597.397,592.886625,337.17766479200566,34.9935185,31.763844,NA,NA,0.66875,NA,-51.99999999999979,128.00000000000023,-159.25275991480774,200.74724008519226,-4.057959087851818,2.3712798319306074,14.027139060448343,3.56660817659728,3.1666875356090896
2005,2005-08-16,228,14,0,-5.39,-5,72,15.609444444444444,13.245567588707502,4.428893019136419,0.0734431008257905,0.28570602962605424,0.3880187941224529,-0.820304748437335,-2.8392707297524686,4,2.72799344024999,-2.92541480647668,28.464359407837616,591.8951388888889,589.3708333333333,284.3770383769769,34.970215499999995,31.8299925,NA,NA,0.6944444444444444,NA,-47.00000000000001,133,-162.6782297098458,197.3217702901542,-3.2645503603206407,2.311430497534023,13.692861789534492,2.6090152562873854,2.288671159199706
